symptom,findingSite(expanded),site_implies_system,asserted_system
sx_下肢冷,LowerLimb,LimbFinding,WholeBodyFinding
sx_下肢沉重,LowerLimb,LimbFinding,PsychiatricFinding
sx_不射精,Genital,FemaleFinding,AbdominalFinding
sx_乳房疼痛,Thorax,ThoraxFinding,WholeBodyFinding
sx_二手掌脱屑,UpperLimb,LimbFinding,SkinFinding
sx_但欲漱水不欲咽,HeadNeck,HeadNeckFinding,PsychiatricFinding
sx_偏头痛,HeadNeck,HeadNeckFinding,WholeBodyFinding
sx_全头痛,HeadNeck,HeadNeckFinding,WholeBodyFinding
sx_副睾硬结,Genital,FemaleFinding,AbdominalFinding
sx_劳累发热,HeadNeck,HeadNeckFinding,WholeBodyFinding
sx_包皮嵌顿,Genital,FemaleFinding,AbdominalFinding
sx_包皮水肿,Genital,FemaleFinding,AbdominalFinding
sx_包皮过长,Genital,FemaleFinding,AbdominalFinding
sx_包茎,Genital,FemaleFinding,AbdominalFinding
sx_发热,HeadNeck,HeadNeckFinding,WholeBodyFinding
sx_发热重_恶寒轻,HeadNeck,HeadNeckFinding,WholeBodyFinding
sx_发癫,HeadNeck,HeadNeckFinding,PsychiatricFinding
sx_口不渴,HeadNeck,HeadNeckFinding,PsychiatricFinding
sx_口中尿臊气,HeadNeck,HeadNeckFinding,PsychiatricFinding
sx_口中苹果气,HeadNeck,HeadNeckFinding,PsychiatricFinding
sx_口咸,HeadNeck,HeadNeckFinding,PsychiatricFinding
sx_口干,HeadNeck,HeadNeckFinding,PsychiatricFinding
sx_口气腥臭,HeadNeck,HeadNeckFinding,PsychiatricFinding
sx_口气臭,HeadNeck,HeadNeckFinding,PsychiatricFinding
sx_口气酸臭,HeadNeck,HeadNeckFinding,PsychiatricFinding
sx_口淡,HeadNeck,HeadNeckFinding,PsychiatricFinding
sx_口渴引饮,HeadNeck,HeadNeckFinding,PsychiatricFinding
sx_口甜,HeadNeck,HeadNeckFinding,PsychiatricFinding
