sample_id,terminology,sx_en,obj_id,mapType,confidence,rater1_acceptable,rater1_mapType,rater2_acceptable,rater2_mapType,rater3_acceptable,rater3_mapType
S0001,HPO,Gray nail,HP:0001821,close,Medium,0,related,1,close,1,close
S0002,HPO,Yellow nail,HP:0011367,close,High,1,close,1,close,0,related
S0003,HPO,inappropriate laughing,HP:0000748,close,Medium,1,close,1,close,1,close
S0004,HPO,Dull-yellow skin,HP:0000952,close,High,1,close,1,close,1,close
S0005,HPO,Limb joint contracture,HP:0003121,close,inherited,0,close,1,close,0,close
S0006,HPO,palpitations,HP:0001676,close,High,1,close,1,close,1,close
S0007,HPO,frequent hiccups,HP:0100247,close,Medium,1,close,1,close,0,close
S0008,HPO,absent pulse,HP:0031271,close,Medium,1,close,1,close,0,close
S0009,HPO,brownish-red hematuria,HP:0000790,close,Medium,0,close,1,close,0,close
S0010,HPO,Vertex pain,HP:0002315,close,Medium,0,close,1,close,0,close
S0011,HPO,Scrotal skin splitting/cracking,HP:0000048,close,Medium,0,related,1,close,1,close
S0012,HPO,bone crepitus,HP:0012479,close,Medium,1,close,1,close,1,close
S0013,HPO,collapsed nasal columella,HP:0010761,close,Medium,1,close,1,close,1,close
S0014,HPO,moist lustrous nasal tip,HP:0000455,close,Medium,1,close,1,close,1,close
S0015,HPO,frequent urge to defecate,HP:0032774,close,Medium,0,close,1,close,1,close
S0016,HPO,night blindness (sparrow eye),HP:0007642,close,High,1,close,1,close,1,close
S0017,HPO,mobile abdominal mass,HP:0031500,close,High,0,close,1,close,1,close
S0018,HPO,inability to close the eyelid (lagophthalmos),HP:0030002,close,High,0,close,1,close,1,close
S0019,HPO,limb cyanosis,HP:0034030,close,High,1,close,1,close,1,close
S0020,HPO,itchy rash,HP:0000988,close,Medium,0,close,1,close,0,close
S0021,HPO,Skin numbness,HP:0033748,close,High,0,close,1,close,1,close
S0022,HPO,sleep talking (somniloquy),HP:0025236,close,High,1,close,1,close,1,close
S0023,HPO,narrowing of visual field,HP:0007981,close,High,0,related,1,close,0,close
S0024,HPO,Vaginal discharge resembling pus,HP:0034269,close,Medium,1,close,1,close,1,close
S0025,HPO,Skin dryness,HP:0031088,close,Medium,0,close,1,close,1,close
S0026,HPO,Oral mucosa macule,HP:6001110,close,High,1,close,0,close,1,close
S0027,HPO,profuse semen,HP:0005587,close,Medium,0,close,1,close,0,close
S0028,HPO,thin-walled blisters,HP:0008066,close,Medium,0,related,1,close,1,close
S0029,HPO,teeth grinding during sleep,HP:0003763,close,High,1,close,1,close,0,close
S0030,HPO,pus discharge from the lacrimal punctum,HP:0001092,close,Medium,1,close,1,close,1,close
S0031,HPO,mobile mass,HP:0025760,close,High,0,close,1,close,1,close
S0032,HPO,burning sensation of granulation tissue,HP:6000420,close,Medium,0,related,0,close,1,close
S0033,HPO,cold tearing,HP:0009926,close,High,1,close,1,close,1,close
S0034,HPO,vaginal bleeding during pregnancy,HP:0034266,close,High,1,close,1,close,0,close
S0035,HPO,flaring of the alae nasi,HP:0009928,close,Medium,0,related,1,close,0,close
S0036,HPO,coldness of the back,HP:0033850,close,High,1,close,1,close,1,close
S0037,HPO,dull stare,HP:0025282,close,Medium,0,close,1,close,1,close
S0038,HPO,drum-like abdominal distension,HP:0003270,close,High,1,close,1,close,1,close
S0039,HPO,nail biting in children,HP:0012170,close,High,1,close,1,close,1,close
S0040,HPO,Red tip-of-nose,HP:0011831,close,Medium,0,related,1,close,0,close
S0041,HPO,thick sticky drooling,HP:0002307,close,High,1,close,1,close,1,close
S0042,HPO,yellowish-brown urine,HP:0040320,close,Medium,1,close,1,close,0,related
S0043,HPO,complete lens dislocation,HP:0012019,close,High,1,close,1,close,1,close
S0044,HPO,intra-abdominal mass,HP:0033134,close,High,1,close,1,close,1,close
S0045,HPO,White vaginal discharge,HP:0034269,close,High,1,close,1,close,1,close
S0046,HPO,tumor surface adhering to the skin,HP:0008069,close,High,1,close,1,close,0,close
S0047,HPO,hiccup,HP:0100247,close,Medium,0,close,0,close,1,close
S0048,HPO,edema of the white of the eye (chemosis),HP:0100534,close,High,1,close,1,close,1,close
S0049,HPO,mottled skin,HP:0001070,close,High,1,close,1,close,1,close
S0050,HPO,deviated pupil,HP:0011499,close,Medium,0,related,1,close,1,close
S0051,HPO,high-pitched hiccup,HP:0025430,close,High,0,related,1,close,1,close
S0052,HPO,scaling rash,HP:0000988,close,High,1,close,1,close,1,close
S0053,HPO,Malignant hyperthermia,HP:0002047,close,inherited,0,close,0,close,0,related
S0054,HPO,head distension,HP:0002181,close,Medium,0,close,0,close,0,close
S0055,HPO,snivel-like vaginal discharge,HP:0034269,close,Medium,1,close,1,close,1,close
S0056,HPO,Watery diarrhea,HP:0002014,close,High,1,close,1,close,1,close
S0057,HPO,symmetrically distributed erythema,HP:6000857,close,Medium,0,related,0,close,1,close
S0058,HPO,high-pitched voice,HP:0025430,close,High,1,close,0,close,0,close
S0059,HPO,rib pain,HP:0006649,close,Medium,0,related,1,close,0,close
S0060,HPO,Abnormality of the tongue,HP:0000157,close,inherited,0,close,1,close,0,close
S0061,HPO,abdominal pain during pregnancy,HP:0002027,close,High,0,related,0,close,1,close
S0062,HPO,generalized soreness and weakness,HP:0003324,close,High,1,close,1,close,1,close
S0063,HPO,intermittent nasal obstruction,HP:0004796,close,Medium,1,close,1,close,0,related
S0064,HPO,tight narrow eyelid fissure (blepharophimosis),HP:0045025,close,Medium,0,close,1,close,0,close
