symptom_localname,symptom_zh,symptom_en,hpo_id,hpo_term,mapType
sx_带下色白,带下色白,White vaginal discharge,HP:0034269,,close
sx_手足蠕动,手足蠕动,writhing movement of hands and feet,HP:0200113,,close
sx_干呕,干呕,Vomiting,HP:0002013,,exact
sx_头发色红,头发色红,Red hair,HP:0002297,,exact
sx_头顶痛,头顶痛,Vertex pain,HP:0002315,,close
sx_瘤体疮口出血如喷射状,瘤体疮口出血如喷射状,jetting bleeding from the tumor sore,HP:0030140,,close
sx_瘤体疮口出血如喷射状,瘤体疮口出血如喷射状,jetting bleeding from the tumor sore,HP:0011885,,close
sx_食少,食少,Poor appetite,HP:0004396,,exact
sx_白睛结节,白睛结节,nodules on the white of the eye,HP:0100534,,close
sx_呼吸张口抬肩,呼吸张口抬肩,dyspnea with open-mouth breathing and shoulder lifting,HP:6000463,,close
sx_皮肤干瘪起皱,皮肤干瘪起皱,shriveled wrinkled skin,HP:0100678,,close
sx_皮肤干瘪起皱,皮肤干瘪起皱,shriveled wrinkled skin,HP:0007392,,close
sx_皮肤干瘪起皱,皮肤干瘪起皱,shriveled wrinkled skin,HP:0007414,,close
sx_泪窍溢脓,泪窍溢脓,pus discharge from the lacrimal punctum,HP:0001092,,close
sx_泪窍溢脓,泪窍溢脓,pus discharge from the lacrimal punctum,HP:0010748,,close
sx_尿黄褐,尿黄褐,yellowish-brown urine,HP:0040320,,close
sx_耳生痈,耳生痈,ear abscess,HP:0025615,,close
sx_睾丸肿大,睾丸肿大,testicular enlargement,HP:0000053,,close
sx_囟门迟闭,囟门迟闭,delayed closure of fontanelle,HP:0001476,,close
sx_囟门迟闭,囟门迟闭,delayed closure of fontanelle,HP:0000270,,close
sx_月经量少,月经量少,Oligomenorrhea,HP:0000876,,exact
sx_经行腰痛,经行腰痛,low back pain during menstruation,HP:0003419,,close
sx_妄见,妄见,visual hallucination,HP:0000738,,close
sx_妄见,妄见,visual hallucination,HP:0002367,,exact
sx_妄见,妄见,visual hallucination,HP:5200215,,close
sx_头皮脱屑,头皮脱屑,scalp scaling,HP:0001051,,close
sx_妊娠阴道流血,妊娠阴道流血,vaginal bleeding during pregnancy,HP:0034266,,close
