symptom_localname,symptom_zh,symptom_en,icd11_id,icd11_term,mapType
sx_带下色白,带下色白,White vaginal discharge,MF3A,Vaginal discharge,close
sx_头发色红,头发色红,Red hair,XA9N28,Beard hair,close
sx_头发色红,头发色红,Red hair,ED73.0,Weathered hair,close
sx_劳累发热,劳累发热,exertion-induced fever,SE90,Qi deficiency pattern (TM1),close
sx_疼痛喜按,疼痛喜按,pain relieved by pressure,SE90,Qi deficiency pattern (TM1),close
sx_眼球深陷,眼球深陷,sunken eyeball,SE90,Qi deficiency pattern (TM1),close
sx_眼球深陷,眼球深陷,sunken eyeball,SE93,Qi sinking pattern (TM1),close
sx_结节色黑,结节色黑,Black nodule,XM08L6,Afghanistan black,close
sx_结节色黑,结节色黑,Black nodule,SK6T,Phlyctenular nodule disorder (TM2),close
sx_大便时结时稀,大便时结时稀,stool alternating between constipation and looseness,XE484,Stool,close
sx_食少,食少,Poor appetite,SF7M,Spleen and kidney yang deficiency pattern (TM1),close
sx_疮肿宣浮,疮肿宣浮,puffy superficial sore swelling,XK7F,Superficial,close
sx_脉细,脉细,Thin pulse,SF00,Blood deficiency pattern (TM1),close
sx_脉细,脉细,Thin pulse,SR1T,Blood deficiency pattern (TM2),close
sx_呼吸张口抬肩,呼吸张口抬肩,dyspnea with open-mouth breathing and shoulder lifting,MD11.8Z,"Mouth breathing, unspecified",close
sx_头皮囊肿,头皮囊肿,scalp cyst,EC92.1,Scalp dysaesthesia,close
sx_头皮囊肿,头皮囊肿,scalp cyst,GA15.2,Nabothian cyst,close
sx_脐突,脐突,Umbilical hernia,DD53,Umbilical hernia,exact
sx_脐突,脐突,Umbilical hernia,DD54,Paraumbilical hernia,close
sx_头如蒙,头如蒙,head as if swathed,SG80,Dampness obstructing the defense yang pattern (TM1),close
sx_泪窍溢脓,泪窍溢脓,pus discharge from the lacrimal punctum,XA2VR4,Superior lacrimal punctum,close
sx_泪窍溢脓,泪窍溢脓,pus discharge from the lacrimal punctum,XA99D0,Inferior lacrimal punctum,close
sx_泪窍溢脓,泪窍溢脓,pus discharge from the lacrimal punctum,9A11.0,Eversion of lacrimal punctum,close
sx_睑弦潮红,睑弦潮红,Flushed red eyelid-margin,XA4AX5,Lower eyelid margin,close
sx_睑弦潮红,睑弦潮红,Flushed red eyelid-margin,XA53T1,Upper eyelid margin,close
sx_指按有脓不流,指按有脓不流,pus not flowing on finger pressure,XE94J,No pressure,close
sx_泡沫样大便,泡沫样大便,foamy stool,XE484,Stool,close
sx_肛门脱出物紫红,肛门脱出物紫红,purplish-red anal prolapse,DB53,Anal prolapse,close
sx_耳生痈,耳生痈,ear abscess,SK80,Ear abscess disorder (TM2),close
sx_耳生痈,耳生痈,ear abscess,AA00,Abscess of external ear,close
sx_红斑中心萎缩,红斑中心萎缩,central atrophy of erythema,GB23.3,Atrophy of breast,close
sx_红斑中心萎缩,红斑中心萎缩,central atrophy of erythema,ME64.0,Erythema,close
sx_囟门迟闭,囟门迟闭,delayed closure of fontanelle,SF7A,Spleen deficiency with water flooding pattern (TM1),close
sx_甲沟湿烂,甲沟湿烂,wet erosion of nail fold,XA7003,Lateral nail fold of second toe,close
sx_月经量少,月经量少,Oligomenorrhea,GA20.0,Oligomenorrhoea,exact
sx_闷痛,闷痛,Oppressive pain,SE91,Qi stagnation pattern (TM1),close
sx_经行腰痛,经行腰痛,low back pain during menstruation,SF5H,Liver and kidney yin deficiency pattern (TM1),close
sx_人中色黑,人中色黑,Black philtrum,XA5LY8,Philtrum,close
sx_人中色黑,人中色黑,Black philtrum,XM08L6,Afghanistan black,close
sx_人中色黑,人中色黑,Black philtrum,XM2WE8,Mustard black,close
sx_妄见,妄见,visual hallucination,MB27.27,Visual hallucinations,exact
sx_舌起芒刺,舌起芒刺,With raised prickles tongue,DA03.1,Geographic tongue,close
sx_舌起芒刺,舌起芒刺,With raised prickles tongue,MA14.1C,Raised antibody titre,close
sx_烧伤起泡,烧伤起泡,burn blistering,ME63.3,Chronic blistering skin disorder,close
sx_烧伤起泡,烧伤起泡,burn blistering,ME62.6,Acute blistering skin eruption,close
sx_头痛,头痛,Headache,8A80,Migraine-free headache,exact
sx_持续痛,持续痛,Persistent pain,XT6Z,Persistent,close
sx_唇色淡红,唇色淡红,Pale red lip,SF00,Blood deficiency pattern (TM1),close
sx_唇色淡红,唇色淡红,Pale red lip,SR1T,Blood deficiency pattern (TM2),close
sx_小便中有沉淀,小便中有沉淀,sediment in urine,SF79,Spleen deficiency with dampness accumulation pattern (TM1),close
sx_小便中有沉淀,小便中有沉淀,sediment in urine,SF7M,Spleen and kidney yang deficiency pattern (TM1),close
sx_鼻头枯稿,鼻头枯稿,withered nasal tip,1C17.1,Nasal diphtheria,close
sx_鼻头枯稿,鼻头枯稿,withered nasal tip,XA8817,Nasal turbinate,close
sx_鼻头枯稿,鼻头枯稿,withered nasal tip,XA3RT8,Elbow tip,close
sx_幻臭,幻臭,olfactory hallucination,MB27.24,Olfactory hallucinations,exact
sx_嗳气频作,嗳气频作,frequent belching,MD91,Belching,close
sx_耳后缝糜烂结痴,耳后缝糜烂结痴,eroded crusted retroauricular fold,XA5163,Nasolabial fold,close
sx_耳后缝糜烂结痴,耳后缝糜烂结痴,eroded crusted retroauricular fold,XA8N50,Laryngeal aspect of aryepiglottic fold,close
sx_甲床淡白,甲床淡白,pale nail bed,XA6189,Nail bed of third toe,close
sx_甲床淡白,甲床淡白,pale nail bed,XA7B22,Nail bed of second toe,close
sx_甲床淡白,甲床淡白,pale nail bed,XA65U3,Nail bed of fourth toe,close
sx_便如黄糜,便如黄糜,yellow gruel-like stool,XE484,Stool,close
sx_寒热往来有定时,寒热往来有定时,alternating chills and fever at regular intervals,SD93,Alternating fever and chills disorder (TM1),close
sx_寒热往来有定时,寒热往来有定时,alternating chills and fever at regular intervals,MG21,Chills,close
sx_小腹痛,小腹痛,Abdominal pain,SM33,Abdominal pain disorder (TM2),close
sx_小腹痛,小腹痛,Abdominal pain,DD91.4,Functional abdominal pain syndrome,close
sx_小腹痛,小腹痛,Abdominal pain,SC10,Puerperal abdominal pain disorder (TM1),close
sx_脉沉,脉沉,Deep pulse,XK16,Deep,close
sx_四肢沉重,四肢沉重,heaviness of limbs,LD26.3,Syndromes with synostoses of limbs,close
sx_左侧胸廓塌陷,左侧胸廓塌陷,left-sided thoracic collapse,DD71.1,Left sided ulcerative colitis,close
sx_口唇色赤,口唇色赤,red lips,SF7F,Stomach heat pattern (TM1),close
sx_口唇色赤,口唇色赤,red lips,SE72,Heat pattern (TM1),close
sx_早泄,早泄,Premature ejaculation,SB08,Premature ejaculation disorder (TM1),close
sx_脊柱侧弯,脊柱侧弯,Scoliosis,FA70.1,Scoliosis,exact
sx_脊柱侧弯,脊柱侧弯,Scoliosis,FC01.5,Post radiation scoliosis,close
sx_皮肤色黄如橘,皮肤色黄如橘,orange-yellow skin,XM2XN1,Orange,close
sx_烧伤皮肤色赤,烧伤皮肤色赤,red skin of burn,XA04T9,Skin of nose,close
sx_烧伤皮肤色赤,烧伤皮肤色赤,red skin of burn,XA9E26,Skin of auricle,close
sx_烧伤皮肤色赤,烧伤皮肤色赤,red skin of burn,XA66R9,Skin of elbow,close
sx_嗅觉减退,嗅觉减退,Hyposmia,MB41.3,Hyposmia,exact
sx_上腭黏膜白腐,上腭黏膜白腐,white curdled palatal mucosa,XA00H5,Palatal mucosa,close
sx_上腭黏膜白腐,上腭黏膜白腐,white curdled palatal mucosa,XA0PT3,Mucosa,close
sx_听力减退,听力减退,Hearing impairment,AB51.Z,"Acquired hearing impairment, unspecified",close
sx_听力减退,听力减退,Hearing impairment,AB51.Y,Other specified acquired hearing impairment,close
sx_听力减退,听力减退,Hearing impairment,AB5Y,Other specified disorders with hearing impairment,close
sx_眵泪,眵泪,eye discharge and tears,MC14,Eye discharge,close
sx_呵欠频作,呵欠频作,frequent yawning,MD11.D,Yawning,close
