symptom_localname,symptom_zh,symptom_en,snomedCT_id,snomedCT_term,mapType
sx_干呕,干呕,Vomiting,249497008,emesis,exact
sx_干呕,干呕,Vomiting,8579004,projectile vomiting,close
sx_干呕,干呕,Vomiting,16932000,nausea and vomiting,close
sx_头发色红,头发色红,Red hair,297997007,ginger hair color,exact
sx_头顶痛,头顶痛,Vertex pain,25064002,headache,close
sx_瘤体疮口出血如喷射状,瘤体疮口出血如喷射状,jetting bleeding from the tumor sore,417244000,bleeding from the eye,close
sx_瘤体疮口出血如喷射状,瘤体疮口出血如喷射状,jetting bleeding from the tumor sore,93478000,bleeding from the eye,close
sx_食少,食少,Poor appetite,64379006,decreased appetite,exact
sx_白睛结节,白睛结节,nodules on the white of the eye,815008,episcleritis,close
sx_皮肤干瘪起皱,皮肤干瘪起皱,shriveled wrinkled skin,247434009,premature skin wrinkling,close
sx_脐突,脐突,Umbilical hernia,396347007,umbilical hernia,exact
sx_脐突,脐突,Umbilical hernia,44518003,celosomia,exact
sx_脐突,脐突,Umbilical hernia,18735004,exomphalos,exact
sx_泪窍溢脓,泪窍溢脓,pus discharge from the lacrimal punctum,204208005,absent lacrimal gland puncta,close
sx_泪窍溢脓,泪窍溢脓,pus discharge from the lacrimal punctum,253217007,absent lacrimal gland puncta,close
sx_耳生痈,耳生痈,ear abscess,27916005,hepatic abscess,close
sx_耳生痈,耳生痈,ear abscess,299709002,dental abscess,close
sx_耳生痈,耳生痈,ear abscess,82127005,perianal abscess,close
sx_斑色鲜红,斑色鲜红,Bright red macule,112629002,flat discolored area of skin,close
sx_囟门迟闭,囟门迟闭,delayed closure of fontanelle,295091000119,delayed closure anterior fontanel,close
sx_囟门迟闭,囟门迟闭,delayed closure of fontanelle,82779003,broad late closing cranial sutures,close
sx_早醒,早醒,Terminal insomnia,193462001,difficulty staying or falling asleep,close
sx_月经量少,月经量少,Oligomenorrhea,27342003,Oligomenorrhea,exact
sx_经行腰痛,经行腰痛,low back pain during menstruation,279039007,low back pain,close
