# mapping_set_id: https://github.com/Pinellia7ternata/TCM-Symptom-Ontology/mappings/TCM-SO-HPO.sssom.tsv
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: https://github.com/Pinellia7ternata/TCM-Symptom-Ontology
# mapping_date: 2026-09-17
# creator_id: https://github.com/Pinellia7ternata
# mapping_tool: manual expert curation after lexical/semantic pre-screening
# object_source: The Human Phenotype Ontology (release 2021)
# comment_type
# comment: Subject classes are TCM Symptom Ontology (TCM-SO, release v4.10) symptom classes; predicate and object identify the cross-terminology alignment.
# curie_map:
#   TCM-SO: http://OntoTCM.org.cn/ontologies/tcm_v38/f#
#   HP: http://purl.obolibrary.org/obo/HP_
#   SNOMEDCT: http://snomed.info/id/
#   ICD11: https://icd.who.int/browse11/l-m/en#
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	curation_status
TCM-SO:sx_带下色白	White vaginal discharge	skos:closeMatch	HP:0034269		semapv:ManualMappingCuration	
TCM-SO:sx_手足蠕动	writhing movement of hands and feet	skos:closeMatch	HP:0200113		semapv:ManualMappingCuration	
TCM-SO:sx_干呕	Vomiting	skos:exactMatch	HP:0002013		semapv:ManualMappingCuration	
TCM-SO:sx_头发色红	Red hair	skos:exactMatch	HP:0002297		semapv:ManualMappingCuration	
TCM-SO:sx_头顶痛	Vertex pain	skos:closeMatch	HP:0002315		semapv:ManualMappingCuration	under_review
TCM-SO:sx_瘤体疮口出血如喷射状	jetting bleeding from the tumor sore	skos:closeMatch	HP:0030140		semapv:ManualMappingCuration	
TCM-SO:sx_瘤体疮口出血如喷射状	jetting bleeding from the tumor sore	skos:closeMatch	HP:0011885		semapv:ManualMappingCuration	
TCM-SO:sx_食少	Poor appetite	skos:exactMatch	HP:0004396		semapv:ManualMappingCuration	
TCM-SO:sx_白睛结节	nodules on the white of the eye	skos:closeMatch	HP:0100534		semapv:ManualMappingCuration	
TCM-SO:sx_呼吸张口抬肩	dyspnea with open-mouth breathing and shoulder lifting	skos:closeMatch	HP:6000463		semapv:ManualMappingCuration	
TCM-SO:sx_皮肤干瘪起皱	shriveled wrinkled skin	skos:closeMatch	HP:0100678		semapv:ManualMappingCuration	
TCM-SO:sx_皮肤干瘪起皱	shriveled wrinkled skin	skos:closeMatch	HP:0007392		semapv:ManualMappingCuration	
TCM-SO:sx_皮肤干瘪起皱	shriveled wrinkled skin	skos:closeMatch	HP:0007414		semapv:ManualMappingCuration	
TCM-SO:sx_泪窍溢脓	pus discharge from the lacrimal punctum	skos:closeMatch	HP:0001092		semapv:ManualMappingCuration	
TCM-SO:sx_泪窍溢脓	pus discharge from the lacrimal punctum	skos:closeMatch	HP:0010748		semapv:ManualMappingCuration	
TCM-SO:sx_尿黄褐	yellowish-brown urine	skos:closeMatch	HP:0040320		semapv:ManualMappingCuration	
TCM-SO:sx_耳生痈	ear abscess	skos:closeMatch	HP:0025615		semapv:ManualMappingCuration	
TCM-SO:sx_睾丸肿大	testicular enlargement	skos:closeMatch	HP:0000053		semapv:ManualMappingCuration	
TCM-SO:sx_囟门迟闭	delayed closure of fontanelle	skos:closeMatch	HP:0001476		semapv:ManualMappingCuration	
TCM-SO:sx_囟门迟闭	delayed closure of fontanelle	skos:closeMatch	HP:0000270		semapv:ManualMappingCuration	
TCM-SO:sx_月经量少	Oligomenorrhea	skos:exactMatch	HP:0000876		semapv:ManualMappingCuration	
TCM-SO:sx_经行腰痛	low back pain during menstruation	skos:closeMatch	HP:0003419		semapv:ManualMappingCuration	
TCM-SO:sx_妄见	visual hallucination	skos:closeMatch	HP:0000738		semapv:ManualMappingCuration	
TCM-SO:sx_妄见	visual hallucination	skos:exactMatch	HP:0002367		semapv:ManualMappingCuration	
TCM-SO:sx_妄见	visual hallucination	skos:closeMatch	HP:5200215		semapv:ManualMappingCuration	
TCM-SO:sx_头皮脱屑	scalp scaling	skos:closeMatch	HP:0001051		semapv:ManualMappingCuration	
TCM-SO:sx_妊娠阴道流血	vaginal bleeding during pregnancy	skos:closeMatch	HP:0034266		semapv:ManualMappingCuration	
TCM-SO:sx_手足瘙痒	itching of hands and feet	skos:closeMatch	HP:0200113		semapv:ManualMappingCuration	
TCM-SO:sx_手足瘙痒	itching of hands and feet	skos:closeMatch	HP:0007414		semapv:ManualMappingCuration	
TCM-SO:sx_手足瘙痒	itching of hands and feet	skos:closeMatch	HP:0007517		semapv:ManualMappingCuration	
TCM-SO:sx_咽肿	pharyngeal swelling	skos:closeMatch	HP:0011855		semapv:ManualMappingCuration	
TCM-SO:sx_烧伤起泡	burn blistering	skos:closeMatch	HP:0012221		semapv:ManualMappingCuration	
TCM-SO:sx_烧伤起泡	burn blistering	skos:closeMatch	HP:0007446		semapv:ManualMappingCuration	
TCM-SO:sx_头痛	Headache	skos:exactMatch	HP:0002315		semapv:ManualMappingCuration	
TCM-SO:sx_舌肿胀	Abnormal tongue morphology	skos:closeMatch	HP:0030809		semapv:ManualMappingCuration	
TCM-SO:sx_膝软无力	Fatigable weakness	skos:exactMatch	HP:0003473		semapv:ManualMappingCuration	
TCM-SO:sx_鳞屑色黄	Yellow scale	skos:closeMatch	HP:0032106		semapv:ManualMappingCuration	
TCM-SO:sx_鼻头枯稿	withered nasal tip	skos:closeMatch	HP:0000455		semapv:ManualMappingCuration	
TCM-SO:sx_鼻头枯稿	withered nasal tip	skos:closeMatch	HP:0005278		semapv:ManualMappingCuration	
TCM-SO:sx_幻臭	olfactory hallucination	skos:exactMatch	HP:5200200		semapv:ManualMappingCuration	
TCM-SO:sx_甲床淡白	pale nail bed	skos:closeMatch	HP:0001232		semapv:ManualMappingCuration	
TCM-SO:sx_小腹包块	lower abdominal mass	skos:closeMatch	HP:0031500		semapv:ManualMappingCuration	
TCM-SO:sx_小腹包块	lower abdominal mass	skos:closeMatch	HP:6001311		semapv:ManualMappingCuration	
TCM-SO:sx_小腹包块	lower abdominal mass	skos:closeMatch	HP:6001312		semapv:ManualMappingCuration	
TCM-SO:sx_水疱大小相似	blisters of similar size	skos:closeMatch	HP:0008066		semapv:ManualMappingCuration	
TCM-SO:sx_小腹痛	Abdominal pain	skos:exactMatch	HP:0002027		semapv:ManualMappingCuration	
TCM-SO:sx_四肢沉重	heaviness of limbs	skos:closeMatch	HP:0040064		semapv:ManualMappingCuration	
TCM-SO:sx_口唇色赤	red lips	skos:closeMatch	HP:0012472		semapv:ManualMappingCuration	
TCM-SO:sx_口唇色赤	red lips	skos:closeMatch	HP:0100788		semapv:ManualMappingCuration	
TCM-SO:sx_早泄	Premature ejaculation	skos:exactMatch	HP:0012876		semapv:ManualMappingCuration	
TCM-SO:sx_口张	open mouth (inability to close)	skos:exactMatch	HP:0000194		semapv:ManualMappingCuration	
TCM-SO:sx_口张	open mouth (inability to close)	skos:closeMatch	HP:0200096		semapv:ManualMappingCuration	
TCM-SO:sx_皮肤色黄如橘	orange-yellow skin	skos:closeMatch	HP:0000952		semapv:ManualMappingCuration	
TCM-SO:sx_下肢青脉显露	prominent blue vessels of lower limbs	skos:closeMatch	HP:0000179		semapv:ManualMappingCuration	
TCM-SO:sx_下肢青脉显露	prominent blue vessels of lower limbs	skos:closeMatch	HP:0000303		semapv:ManualMappingCuration	
TCM-SO:sx_便稀如水	watery stool	skos:exactMatch	HP:0002014		semapv:ManualMappingCuration	
TCM-SO:sx_视远物不清	blurred distant vision	skos:closeMatch	HP:0000622		semapv:ManualMappingCuration	
TCM-SO:sx_颅缝开解	separation of cranial sutures	skos:closeMatch	HP:0010537		semapv:ManualMappingCuration	
TCM-SO:sx_颅缝开解	separation of cranial sutures	skos:closeMatch	HP:0011329		semapv:ManualMappingCuration	
TCM-SO:sx_尿短黄	scanty dark-yellow urine	skos:closeMatch	HP:0040321		semapv:ManualMappingCuration	
TCM-SO:sx_便血	Hematochezia	skos:exactMatch	HP:0002573		semapv:ManualMappingCuration	
TCM-SO:sx_喷嚏	Sneeze	skos:exactMatch	HP:0025095		semapv:ManualMappingCuration	
TCM-SO:sx_腹中包块推之不移	immobile abdominal mass	skos:closeMatch	HP:0031500		semapv:ManualMappingCuration	
TCM-SO:sx_睑板色淡	Pale tarsal-plate	skos:closeMatch	HP:0025553		semapv:ManualMappingCuration	
TCM-SO:sx_皮肤萎黄	sallow-yellow skin	skos:closeMatch	HP:0000952		semapv:ManualMappingCuration	
TCM-SO:sx_结节色红	Red nodule	skos:closeMatch	HP:0032217		semapv:ManualMappingCuration	
TCM-SO:sx_结节色红	Red nodule	skos:closeMatch	HP:0034819		semapv:ManualMappingCuration	
TCM-SO:sx_活动疼痛加剧	pain aggravated by movement	skos:closeMatch	HP:0025286		semapv:ManualMappingCuration	
TCM-SO:sx_尿少	oliguria	skos:exactMatch	HP:0100520		semapv:ManualMappingCuration	
TCM-SO:sx_水疱周围红晕	red halo around blisters	skos:closeMatch	HP:0008066		semapv:ManualMappingCuration	
TCM-SO:sx_肩痛	Shoulder pain	skos:closeMatch	HP:0030834		semapv:ManualMappingCuration	
TCM-SO:sx_手足心热	Fever	skos:closeMatch	HP:0001945		semapv:ManualMappingCuration	
TCM-SO:sx_阴茎粗长	thickened and elongated penis	skos:closeMatch	HP:0000040		semapv:ManualMappingCuration	
TCM-SO:sx_乳蛾肿大	enlarged tonsil	skos:closeMatch	HP:0030812		semapv:ManualMappingCuration	
TCM-SO:sx_哮鸣	Wheezing	skos:exactMatch	HP:0030828		semapv:ManualMappingCuration	
TCM-SO:sx_哮鸣	Wheezing	skos:closeMatch	HP:0030831		semapv:ManualMappingCuration	
TCM-SO:sx_颈项强直	neck stiffness	skos:exactMatch	HP:0025258		semapv:ManualMappingCuration	
TCM-SO:sx_脐腹痛	periumbilical pain	skos:closeMatch	HP:0034854		semapv:ManualMappingCuration	
TCM-SO:sx_脐腹痛	periumbilical pain	skos:closeMatch	HP:0002027		semapv:ManualMappingCuration	
TCM-SO:sx_肛门痛	Anal pain	skos:exactMatch	HP:0500005		semapv:ManualMappingCuration	
TCM-SO:sx_皮疹细小	fine rash	skos:closeMatch	HP:0000988		semapv:ManualMappingCuration	
TCM-SO:sx_小儿咬爪甲	nail biting in children	skos:closeMatch	HP:0012170		semapv:ManualMappingCuration	
TCM-SO:sx_眼花	blurred vision (eye dazzle)	skos:exactMatch	HP:0000622		semapv:ManualMappingCuration	
TCM-SO:sx_眼花	blurred vision (eye dazzle)	skos:closeMatch	HP:0001125		semapv:ManualMappingCuration	
TCM-SO:sx_四肢冷	cold limbs	skos:closeMatch	HP:6000500		semapv:ManualMappingCuration	
TCM-SO:sx_指甲色黄	Yellow nail	skos:closeMatch	HP:0011367		semapv:ManualMappingCuration	
TCM-SO:sx_目下视	downward deviation of eyes	skos:closeMatch	HP:0100498		semapv:ManualMappingCuration	
TCM-SO:sx_眵多	profuse eye discharge	skos:closeMatch	HP:0034427		semapv:ManualMappingCuration	
TCM-SO:sx_咽红	red pharynx	skos:closeMatch	HP:0033151		semapv:ManualMappingCuration	
TCM-SO:sx_咽红	red pharynx	skos:closeMatch	HP:0100638		semapv:ManualMappingCuration	
TCM-SO:sx_痫	epileptic seizure (xian)	skos:closeMatch	HP:0033052		semapv:ManualMappingCuration	
TCM-SO:sx_痫	epileptic seizure (xian)	skos:closeMatch	HP:0011146		semapv:ManualMappingCuration	
TCM-SO:sx_阴囊皮肤裂开	Scrotal skin splitting/cracking	skos:closeMatch	HP:0000048		semapv:ManualMappingCuration	
TCM-SO:sx_尿多	polyuria	skos:exactMatch	HP:0000103		semapv:ManualMappingCuration	
TCM-SO:sx_尿多	polyuria	skos:closeMatch	HP:0001563		semapv:ManualMappingCuration	
TCM-SO:sx_阴囊水肿	Edema	skos:exactMatch	HP:0000969		semapv:ManualMappingCuration	
TCM-SO:sx_脉弱	Weak pulse	skos:exactMatch	HP:0032553		semapv:ManualMappingCuration	
TCM-SO:sx_脉弱	Weak pulse	skos:closeMatch	HP:0025406		semapv:ManualMappingCuration	
TCM-SO:sx_视瞻有色	colored vision	skos:closeMatch	HP:0000622		semapv:ManualMappingCuration	
TCM-SO:sx_瞳神不圆	irregular pupil	skos:exactMatch	HP:0025309		semapv:ManualMappingCuration	
TCM-SO:sx_指肿	Finger swelling	skos:exactMatch	HP:0025131		semapv:ManualMappingCuration	
TCM-SO:sx_鼻翼煽动	flaring of the alae nasi	skos:closeMatch	HP:0009928		semapv:ManualMappingCuration	under_review
TCM-SO:sx_心烦	vexation	skos:closeMatch	HP:0000737		semapv:ManualMappingCuration	
TCM-SO:sx_带下粘稠	sticky vaginal discharge	skos:closeMatch	HP:0034269		semapv:ManualMappingCuration	
TCM-SO:sx_头小	microcephaly	skos:exactMatch	HP:0000252		semapv:ManualMappingCuration	
TCM-SO:sx_头小	microcephaly	skos:closeMatch	HP:0005484		semapv:ManualMappingCuration	
TCM-SO:sx_头小	microcephaly	skos:closeMatch	HP:0000253		semapv:ManualMappingCuration	
TCM-SO:sx_流泪	Reflex tearing	skos:exactMatch	HP:0031733		semapv:ManualMappingCuration	
TCM-SO:sx_脐部出血	umbilical bleeding	skos:closeMatch	HP:0011884		semapv:ManualMappingCuration	
TCM-SO:sx_白睛浮肿	edema of the white of the eye (chemosis)	skos:closeMatch	HP:0100534		semapv:ManualMappingCuration	
TCM-SO:sx_心悸	Palpitations	skos:exactMatch	HP:0001962		semapv:ManualMappingCuration	
TCM-SO:sx_肉芽发痒	itchy granulation tissue	skos:closeMatch	HP:6000956		semapv:ManualMappingCuration	
TCM-SO:sx_狂躁	manic agitation	skos:closeMatch	HP:0000713		semapv:ManualMappingCuration	
TCM-SO:sx_结核累累	numerous nodules (scrofula)	skos:closeMatch	HP:0001054		semapv:ManualMappingCuration	
TCM-SO:sx_耳痒	ear itching	skos:closeMatch	HP:0000989		semapv:ManualMappingCuration	
TCM-SO:sx_张口困难	difficulty opening the mouth	skos:closeMatch	HP:0000658		semapv:ManualMappingCuration	
TCM-SO:sx_唇干	dry lips	skos:exactMatch	HP:0040181		semapv:ManualMappingCuration	
TCM-SO:sx_肉芽晦暗	dull dark granulation tissue	skos:closeMatch	HP:6000956		semapv:ManualMappingCuration	
TCM-SO:sx_指骨节脱落	loss of finger joints	skos:closeMatch	HP:0001187		semapv:ManualMappingCuration	
TCM-SO:sx_肿块推之不动	immobile mass	skos:exactMatch	HP:0025760		semapv:ManualMappingCuration	
TCM-SO:sx_肿块推之不动	immobile mass	skos:closeMatch	HP:0025759		semapv:ManualMappingCuration	
TCM-SO:sx_怔忡	Palpitations	skos:exactMatch	HP:0001962		semapv:ManualMappingCuration	
TCM-SO:sx_口唇干燥	dry lips	skos:exactMatch	HP:0040181		semapv:ManualMappingCuration	
TCM-SO:sx_神昏	Coma	skos:closeMatch	HP:0001259		semapv:ManualMappingCuration	
TCM-SO:sx_阴囊肿大	scrotal enlargement	skos:closeMatch	HP:0033794		semapv:ManualMappingCuration	
TCM-SO:sx_瘙痒	Pruritus	skos:exactMatch	HP:0000989		semapv:ManualMappingCuration	
TCM-SO:sx_皮疹糜烂	eroded rash	skos:closeMatch	HP:0000988		semapv:ManualMappingCuration	
TCM-SO:sx_皮肤白点	white dots on the skin	skos:closeMatch	HP:0040190		semapv:ManualMappingCuration	
TCM-SO:sx_食入腹胀	Abdominal distention	skos:exactMatch	HP:0003270		semapv:ManualMappingCuration	
TCM-SO:sx_隐痛	Pain	skos:closeMatch	HP:0012531		semapv:ManualMappingCuration	
TCM-SO:sx_皮肤感觉消失	Skin anesthesia (loss of sensation)	skos:closeMatch	HP:0034982		semapv:ManualMappingCuration	
TCM-SO:sx_眼胞振跳	eyelid twitch	skos:closeMatch	HP:0031786		semapv:ManualMappingCuration	
TCM-SO:sx_眼胞振跳	eyelid twitch	skos:closeMatch	HP:0000643		semapv:ManualMappingCuration	
TCM-SO:sx_少腹痛	Abdominal pain	skos:exactMatch	HP:0002027		semapv:ManualMappingCuration	
TCM-SO:sx_身痛	Body ache	skos:exactMatch	HP:0033047		semapv:ManualMappingCuration	
TCM-SO:sx_气短	shortness of breath	skos:closeMatch	HP:0033710		semapv:ManualMappingCuration	
TCM-SO:sx_气短	shortness of breath	skos:exactMatch	HP:0002094		semapv:ManualMappingCuration	
TCM-SO:sx_带下杂见五色	vaginal discharge of five intermingled colors	skos:exactMatch	HP:0031470		semapv:ManualMappingCuration	
TCM-SO:sx_带下杂见五色	vaginal discharge of five intermingled colors	skos:closeMatch	HP:0034269		semapv:ManualMappingCuration	
TCM-SO:sx_弄舌	Abnormality of the tongue	skos:closeMatch	HP:0000157		semapv:ManualMappingCuration	under_review
TCM-SO:sx_寒战	Chills	skos:exactMatch	HP:0025143		semapv:ManualMappingCuration	under_review
TCM-SO:sx_水泻	Watery diarrhea	skos:closeMatch	HP:0002014		semapv:ManualMappingCuration	
TCM-SO:sx_指苍白	Pale finger	skos:closeMatch	HP:0000980		semapv:ManualMappingCuration	
TCM-SO:sx_耳底痛	deep ear pain	skos:closeMatch	HP:0030766		semapv:ManualMappingCuration	
TCM-SO:sx_皮疹瘙痒	itchy rash	skos:closeMatch	HP:0000988		semapv:ManualMappingCuration	under_review
TCM-SO:sx_经断复行	postmenopausal bleeding	skos:exactMatch	HP:0033840		semapv:ManualMappingCuration	
TCM-SO:sx_皮肤感觉减退	Skin hypoesthesia	skos:closeMatch	HP:0033748		semapv:ManualMappingCuration	
TCM-SO:sx_皮肤感觉减退	Skin hypoesthesia	skos:closeMatch	HP:0002495		semapv:ManualMappingCuration	
TCM-SO:sx_梦呓	sleep talking (somniloquy)	skos:exactMatch	HP:0025187		semapv:ManualMappingCuration	
TCM-SO:sx_梦呓	sleep talking (somniloquy)	skos:closeMatch	HP:0025236		semapv:ManualMappingCuration	
TCM-SO:sx_睥急紧小	tight narrow eyelid fissure (blepharophimosis)	skos:closeMatch	HP:0045025		semapv:ManualMappingCuration	under_review
TCM-SO:sx_腰冷	cold lower back	skos:closeMatch	HP:0003419		semapv:ManualMappingCuration	
TCM-SO:sx_口疮	Aphthous ulcer	skos:exactMatch	HP:0032154		semapv:ManualMappingCuration	
TCM-SO:sx_带下如涕	snivel-like vaginal discharge	skos:closeMatch	HP:0034269		semapv:ManualMappingCuration	
TCM-SO:sx_舌溃疡	Ulcerated tongue	skos:closeMatch	HP:0040294		semapv:ManualMappingCuration	
TCM-SO:sx_恐惧	fearfulness	skos:closeMatch	HP:5200232		semapv:ManualMappingCuration	
TCM-SO:sx_舌紫	Tongue pain	skos:closeMatch	HP:0030811		semapv:ManualMappingCuration	
TCM-SO:sx_咽喉痛	Pharyngalgia	skos:exactMatch	HP:0033050		semapv:ManualMappingCuration	
TCM-SO:sx_久泄不止	incessant chronic diarrhea	skos:closeMatch	HP:0002028		semapv:ManualMappingCuration	
TCM-SO:sx_吞食梗塞	obstruction when swallowing	skos:closeMatch	HP:0004796		semapv:ManualMappingCuration	
TCM-SO:sx_唇反人中满	everted lip with flattened philtrum	skos:closeMatch	HP:0010803		semapv:ManualMappingCuration	
TCM-SO:sx_口腔糜烂	Oral erosion	skos:closeMatch	HP:0200020		semapv:ManualMappingCuration	
TCM-SO:sx_口腔糜烂	Oral erosion	skos:closeMatch	HP:0012523		semapv:ManualMappingCuration	
