# mapping_set_id: https://github.com/Pinellia7ternata/TCM-Symptom-Ontology/mappings/TCM-SO-ICD11.sssom.tsv
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: https://github.com/Pinellia7ternata/TCM-Symptom-Ontology
# mapping_date: 2026-09-17
# creator_id: https://github.com/Pinellia7ternata
# mapping_tool: manual expert curation after lexical/semantic pre-screening
# object_source: ICD-11 for Mortality and Morbidity Statistics (MMS)
# comment_type
# comment: Subject classes are TCM Symptom Ontology (TCM-SO, release v4.10) symptom classes; predicate and object identify the cross-terminology alignment.
# curie_map:
#   TCM-SO: http://OntoTCM.org.cn/ontologies/tcm_v38/f#
#   HP: http://purl.obolibrary.org/obo/HP_
#   SNOMEDCT: http://snomed.info/id/
#   ICD11: https://icd.who.int/browse11/l-m/en#
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	curation_status
TCM-SO:sx_带下色白	White vaginal discharge	skos:closeMatch	ICD11:MF3A	Vaginal discharge	semapv:ManualMappingCuration	
TCM-SO:sx_头发色红	Red hair	skos:closeMatch	ICD11:XA9N28	Beard hair	semapv:ManualMappingCuration	
TCM-SO:sx_头发色红	Red hair	skos:closeMatch	ICD11:ED73.0	Weathered hair	semapv:ManualMappingCuration	
TCM-SO:sx_劳累发热	exertion-induced fever	skos:closeMatch	ICD11:SE90	Qi deficiency pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_疼痛喜按	pain relieved by pressure	skos:closeMatch	ICD11:SE90	Qi deficiency pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_眼球深陷	sunken eyeball	skos:closeMatch	ICD11:SE90	Qi deficiency pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_眼球深陷	sunken eyeball	skos:closeMatch	ICD11:SE93	Qi sinking pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_结节色黑	Black nodule	skos:closeMatch	ICD11:XM08L6	Afghanistan black	semapv:ManualMappingCuration	
TCM-SO:sx_结节色黑	Black nodule	skos:closeMatch	ICD11:SK6T	Phlyctenular nodule disorder (TM2)	semapv:ManualMappingCuration	
TCM-SO:sx_大便时结时稀	stool alternating between constipation and looseness	skos:closeMatch	ICD11:XE484	Stool	semapv:ManualMappingCuration	
TCM-SO:sx_食少	Poor appetite	skos:closeMatch	ICD11:SF7M	Spleen and kidney yang deficiency pattern (TM1)	semapv:ManualMappingCuration	
