# mapping_set_id: https://github.com/Pinellia7ternata/TCM-Symptom-Ontology/mappings/TCM-SO-SNOMEDCT.sssom.tsv
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: https://github.com/Pinellia7ternata/TCM-Symptom-Ontology
# mapping_date: 2026-09-17
# creator_id: https://github.com/Pinellia7ternata
# mapping_tool: manual expert curation after lexical/semantic pre-screening
# object_source: SNOMED CT (International Edition)
# comment_type
# comment: Subject classes are TCM Symptom Ontology (TCM-SO, release v4.10) symptom classes; predicate and object identify the cross-terminology alignment.
# curie_map:
#   TCM-SO: http://OntoTCM.org.cn/ontologies/tcm_v38/f#
#   HP: http://purl.obolibrary.org/obo/HP_
#   SNOMEDCT: http://snomed.info/id/
#   ICD11: https://icd.who.int/browse11/l-m/en#
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	curation_status
TCM-SO:sx_干呕	Vomiting	skos:exactMatch	SNOMEDCT:249497008	emesis	semapv:ManualMappingCuration	
TCM-SO:sx_干呕	Vomiting	skos:closeMatch	SNOMEDCT:8579004	projectile vomiting	semapv:ManualMappingCuration	
TCM-SO:sx_干呕	Vomiting	skos:closeMatch	SNOMEDCT:16932000	nausea and vomiting	semapv:ManualMappingCuration	
TCM-SO:sx_头发色红	Red hair	skos:exactMatch	SNOMEDCT:297997007	ginger hair color	semapv:ManualMappingCuration	
TCM-SO:sx_头顶痛	Vertex pain	skos:closeMatch	SNOMEDCT:25064002	headache	semapv:ManualMappingCuration	
TCM-SO:sx_瘤体疮口出血如喷射状	jetting bleeding from the tumor sore	skos:closeMatch	SNOMEDCT:417244000	bleeding from the eye	semapv:ManualMappingCuration	
TCM-SO:sx_瘤体疮口出血如喷射状	jetting bleeding from the tumor sore	skos:closeMatch	SNOMEDCT:93478000	bleeding from the eye	semapv:ManualMappingCuration	
TCM-SO:sx_食少	Poor appetite	skos:exactMatch	SNOMEDCT:64379006	decreased appetite	semapv:ManualMappingCuration	
TCM-SO:sx_白睛结节	nodules on the white of the eye	skos:closeMatch	SNOMEDCT:815008	episcleritis	semapv:ManualMappingCuration	
TCM-SO:sx_皮肤干瘪起皱	shriveled wrinkled skin	skos:closeMatch	SNOMEDCT:247434009	premature skin wrinkling	semapv:ManualMappingCuration	
TCM-SO:sx_脐突	Umbilical hernia	skos:exactMatch	SNOMEDCT:396347007	umbilical hernia	semapv:ManualMappingCuration	
TCM-SO:sx_脐突	Umbilical hernia	skos:exactMatch	SNOMEDCT:44518003	celosomia	semapv:ManualMappingCuration	
TCM-SO:sx_脐突	Umbilical hernia	skos:exactMatch	SNOMEDCT:18735004	exomphalos	semapv:ManualMappingCuration	
TCM-SO:sx_泪窍溢脓	pus discharge from the lacrimal punctum	skos:closeMatch	SNOMEDCT:204208005	absent lacrimal gland puncta	semapv:ManualMappingCuration	
TCM-SO:sx_泪窍溢脓	pus discharge from the lacrimal punctum	skos:closeMatch	SNOMEDCT:253217007	absent lacrimal gland puncta	semapv:ManualMappingCuration	
TCM-SO:sx_耳生痈	ear abscess	skos:closeMatch	SNOMEDCT:27916005	hepatic abscess	semapv:ManualMappingCuration	
TCM-SO:sx_耳生痈	ear abscess	skos:closeMatch	SNOMEDCT:299709002	dental abscess	semapv:ManualMappingCuration	
